l1,b1,z1,w1,Dc1,LRG_ID1,l2,b2,z2,w2,Dc2,LRG_ID2,Dmid
119.31262480290144,-69.78595514148643,0.6468334192655131,0.9673341131416661,1636.3062266650038,188,119.70359443509112,-69.43245153366549,0.6440037538926155,0.9559185760082841,1630.417446267016,1187,1633.3631051705934
114.62041299182994,-69.38799773092212,0.6907970851087274,0.9560941989651243,1726.5067309309431,602,115.29802350888832,-69.13895250022703,0.6894259096775214,0.9667480371660815,1723.7298062400178,1370,1725.1185582554376
117.72889001684874,-69.20512474970114,0.652851855535426,0.9527974293228764,1648.7974177592469,1380,116.80041035180622,-69.07023022258358,0.651922861265605,0.9708555835301935,1646.8722887209196,1706,1647.8349894027783
115.21518408527952,-69.0076385950975,0.8594376093224925,0.9444693005257292,2051.0168075244605,1680,114.43115104315586,-69.0055697005452,0.8596697925798056,0.9677788504545385,2051.4412018768044,1799,2051.2290120931757
118.90452421515651,-69.0763077270417,0.7998773659566418,0.9487161471692596,1940.1684205837728,1734,118.53946062167094,-68.78188037548215,0.7985921685302484,0.9680658035688073,1937.732371970795,2684,1938.9506327348745
114.40721214111981,-68.72739890266502,0.6804941593062982,1.043509227625646,1705.584265170472,2083,115.37281367984777,-68.65412940400456,0.676648423122887,0.9612802168338934,1697.7409179019867,2653,1701.6648870287381
114.40721214111981,-68.72739890266502,0.6804941593062982,1.043509227625646,1705.584265170472,2083,115.3789771311498,-68.6718672742803,0.6808024762670984,0.9613222326138893,1706.2122803027262,2655,1705.8982874712108
114.40721214111981,-68.72739890266502,0.6804941593062982,1.043509227625646,1705.584265170472,2083,114.512161211,-68.3617587609509,0.6833295120288809,0.9328770865404945,1711.355194888854,3215,1708.470975142815
115.72828647801988,-68.65869412814115,0.6765646827564368,0.9487583750838302,1697.5699257379972,2460,114.90472308294258,-68.5153071811801,0.6802746814230158,0.9409378255929216,1705.137135770424,2649,1701.3556672704292
182.9468341846184,-53.57748938746963,0.6718777318106649,0.9768244537361522,1687.9855758763465,2566,182.89412547329113,-53.26277739280047,0.6685793192749016,0.9679799891762332,1681.2242325739346,3182,1684.6066017498154
115.37281367984777,-68.65412940400456,0.676648423122887,0.9612802168338934,1697.7409179019867,2653,114.62742613478366,-68.43672843475585,0.6809817382000045,0.9268019751317998,1706.577367254202,3214,1702.1620565826756
115.3789771311498,-68.6718672742803,0.6808024762670984,0.9613222326138893,1706.2122803027262,2655,114.62742613478366,-68.43672843475585,0.6809817382000045,0.9268019751317998,1706.577367254202,3214,1706.3948287587314
180.36726133127047,-55.217868887583265,0.7030575406036643,0.962303754969797,1751.2340730913447,2677,179.9125174742534,-55.404763559561495,0.698825999671898,0.9423844408476859,1742.7205817205702,3014,1746.9800669490382
180.36726133127047,-55.217868887583265,0.7030575406036643,0.962303754969797,1751.2340730913447,2677,179.77005502733968,-55.26822688805501,0.700176584713044,0.9547070942191341,1745.440222668807,3714,1748.33841717897
178.07617236256758,-56.669621892192204,0.6428582534431321,0.9482686413193842,1628.0306724042837,2865,177.53197474031748,-56.810060385888384,0.6468408897395356,0.9786558551609295,1636.3217599436177,3388,1632.1787302746704
179.81286172622274,-55.37527429262677,0.7955660575315346,0.9525566686092176,1931.9890028672587,3162,179.61713294487058,-55.124714639736816,0.794523003521823,0.9703014559672344,1930.0069161324882,3754,1930.9981157069126
182.89412547329113,-53.26277739280047,0.6685793192749016,0.9679799891762332,1681.2242325739346,3182,182.32666945859032,-53.23039847054822,0.6653391185323221,0.9985144462847435,1674.5689799892975,4194,1677.8982477839318
115.74604396820637,-68.36818546172901,0.934334203010999,0.9285391060214407,2184.903708894987,3228,116.19206585159361,-68.13474534986304,0.9369246010699944,0.9239408401369881,2189.4282759974485,4356,2187.166862445008
116.1187613774975,-68.36880154333765,0.9361784706595638,0.9396080162824478,2188.1257469452135,3234,116.19206585159361,-68.13474534986304,0.9369246010699944,0.9239408401369881,2189.4282759974485,4356,2188.7770836012646
116.78779883259169,-68.53520342264427,0.6704347510008534,0.9192395514918213,1685.0293121647094,3251,116.08813399355671,-68.31023457386561,0.6752931142841818,0.9396109752666327,1694.9723973686448,3766,1690.0045315254483
120.58909543678358,-68.62464215525091,0.7708149242519559,0.9570041843010866,1884.6161984806129,3299,120.85576906125756,-68.30863937734193,0.7729114226620337,0.9653393375374176,1888.6563916875753,3830,1886.636936378878
177.53197474031748,-56.810060385888384,0.6468408897395356,0.9786558551609295,1636.3217599436177,3388,177.97502334261162,-56.57590255456678,0.6441364533344073,0.9322410372414748,1630.6938322635947,3404,1633.5089549484298
179.1530126009235,-55.625563618571746,0.6116765255866599,0.9797282205732946,1562.4164109833266,3610,178.58740979791193,-55.860976965826914,0.6090196561518006,0.9396489696469142,1556.7678655482555,3917,1559.5932804620911
117.80298422733588,-68.30836658427138,0.7628545733192852,0.9404723926422827,1869.2288693693433,3655,118.56872739080148,-68.19480905644578,0.7638618130932362,0.9265557344110156,1871.1799644163966,4390,1870.2045657836454
117.61091264970293,-68.23047490569309,0.7659289824291056,0.9585047612228589,1875.1804897805648,3785,118.40157087544515,-68.21909154775544,0.7622219726373216,0.9265557607240563,1868.0028677525884,3792,1871.5936945156195
121.26057340641391,-68.30336533305315,0.6064097217059411,0.9785973352155785,1551.2102009391774,3845,120.53534177563924,-68.02765947183107,0.6062365564645941,0.9749134732803019,1550.8411457228397,4958,1551.0256781944113
