l1,b1,z1,w1,Dc1,LRG_ID1,l2,b2,z2,w2,Dc2,LRG_ID2,Dmid
211.32401567764433,34.64229371599844,0.721999458987506,1.0156729063778613,2644.2154238342955,95340,211.3939747317605,34.66004161597897,0.7235671319651492,1.0154146966579707,2648.815496139512,95341,2646.516007812179
210.14858869659727,33.67456670427677,0.700553206175084,1.031193673555242,2580.8427696748727,98782,210.10740648785085,33.711256379659304,0.700104538815555,1.018730187515451,2579.5081318023213,98783,2580.1754962762575
210.384334974407,35.114748969536194,0.7576900944472906,0.9190164044961677,2747.8660531774367,100583,210.40092243778616,35.173229248517195,0.757837365484272,0.9297884145150479,2748.2891149982925,100984,2748.077588810263
201.57559330801357,18.009684563247774,0.612649032966997,1.3168621199566564,2312.269721020708,105252,201.5193161927631,18.007058835305482,0.6122694287560857,1.316858135505595,2311.078459434961,105253,2311.6741246464894
202.06366603466628,20.046633035229295,0.6035291870686157,1.2938936796167042,2283.5738289305,106999,202.11818325464031,20.040334599437852,0.602769133989399,1.286363586227551,2281.1750969666205,107001,2282.374601679632
207.6052299965463,34.61514223079565,0.7522400104382313,0.9561771520015258,2732.18313105974,112184,207.66982509849421,34.61527015642793,0.7521609035925684,0.9555253873236994,2731.9551147643574,112185,2732.06912427977
207.09748388772636,34.69238214215493,0.6866478782697163,0.9627763259522641,2539.3091741183475,114896,207.15814584370014,34.71262743485467,0.6862428016856493,0.9632346449207002,2538.0939810365185,114898,2538.701615029881
205.4874660198405,34.274734380725945,0.707464255733285,1.0016356939673867,2601.354916520704,121361,205.4139835614251,34.26143534357427,0.7086065019804733,1.0598615008216627,2604.736832951564,122447,2603.0461684082466
204.95512177630633,33.69376226931322,0.8355434906405589,1.142891816262534,2966.337694739446,123109,204.9466284580783,33.64049657118383,0.8345666971007211,1.096758881198128,2963.6597311630367,123110,2964.9989097708276
204.72817316272193,33.675961426717635,0.6795409546405612,1.0428513928120735,2517.945497352025,124399,204.71507013562055,33.73609921892002,0.6804231358710865,1.0401134461645902,2520.60239408217,124403,2519.274124082848
202.5196040623504,29.125591840292685,0.6421906880620427,1.08251089866391,2404.1368010969095,124884,202.53066742736314,29.17355065120479,0.6419195676881784,1.0828551206582167,2403.3011786001307,125265,2403.719007097923
203.6755054241269,32.448414239581474,0.665381458536433,0.9993086876683585,2475.10498004508,126779,203.648263203704,32.5011796856265,0.6644960308107949,0.9996291699578194,2472.413767181879,127195,2473.759555006806
199.76897720817675,24.406063801524887,0.7942890278183159,1.2504181487077393,2851.8506162173494,129546,199.74636531225832,24.45817463313633,0.794291335555211,1.2543533267319786,2851.8571005932154,129548,2851.8538584064136
199.1642809563414,23.289839475587407,0.6503285242142033,1.250311388729458,2429.1543723408463,130305,199.12710862065836,23.33400471868676,0.6500950675539574,1.2568721224420756,2428.4383994733203,130307,2428.7963986331556
201.48819966982273,29.065064275482655,0.6917463515721634,1.1589791946079144,2554.5785432291186,130411,201.45987758885158,29.109880070467675,0.6906837133687875,1.1628582067267232,2551.39996553748,130912,2552.9895113331413
199.19657296725643,23.631309085434633,0.630857412991945,1.3065357232682258,2369.0884663498946,130448,199.24311206183032,23.675429828525402,0.6310207775764921,1.3067402893464657,2369.5953944503644,130449,2369.3419367051342
201.04445154976625,28.07384530498964,0.6682799049874191,1.1715628170117656,2483.9045184940765,130649,201.10116628988064,28.035402584632998,0.6694297149014596,1.1737123954345312,2487.3909833828907,130651,2485.6480560799773
198.25438429383564,21.485302216009686,0.6990412399321684,1.1812155207333386,2576.343712113228,131495,198.25896755342572,21.536513387096832,0.6984950679616855,1.17946418747089,2574.717486655341,131497,2575.530666933427
205.04082731809592,39.461282350593905,0.6126603988842014,1.029213832571462,2312.3053849268917,133247,204.9869119727944,39.408704713224324,0.6114993845603788,1.0009152348404233,2308.6610858223503,134526,2310.483557409952
197.1601894486352,20.450678983660087,0.751088210743973,1.3265680459135771,2728.862121791279,134320,197.14772389599426,20.49575550654135,0.7508866992978902,1.2999249665139043,2728.280860888194,134918,2728.5715002220522
198.3471952990612,23.400225349862225,0.7148235154256745,1.2262410206069398,2623.1027829083864,134455,198.36408644052148,23.449598822608934,0.714482566218874,1.2598059475397303,2622.097368356371,135453,2622.600101684281
198.75112138016638,24.246207714029477,0.7788146824363084,1.223431152731057,2808.166027214338,134501,198.71135753234182,24.20606782760817,0.777796852311865,1.2578373554920244,2805.2782969732843,135497,2806.722384505666
203.78570364298943,36.76135062648847,0.7295511847578077,1.0334818567533668,2666.3344580486387,135143,203.79187475898019,36.819561112067035,0.7296367928227963,1.0683417577234797,2666.584623084959,135604,2666.4595421930844
204.49272178777292,39.028263473904715,0.7644731186017326,0.9809255943930377,2767.3123351565496,136167,204.42362299718508,39.03582476380417,0.7631079971821547,0.976565967243726,2763.405086547106,136168,2765.359114947513
198.5658495184494,24.621186387419034,0.7020201863604818,1.320993824081745,2585.2040114574415,136301,198.5189121830253,24.655195611952298,0.7018929677389012,1.3211638269197947,2584.8259524379705,137341,2585.014985605038
203.01068714063337,35.70205589530564,0.6736386140174394,1.0518936969589607,2500.1324466541405,136373,202.94388783797993,35.71445318188582,0.6748429574027857,1.0169456115383961,2503.7723115903796,136375,2501.952712760961
203.87866690394424,37.84358016112305,0.6067546909483544,1.081699565049539,2293.7411976132457,136755,203.79297055926648,37.844028739924354,0.6071847657465653,1.0611604679848805,2295.0953628705656,136756,2294.4183245631157
