smoothing,separation_hmpc,filament_bridge_excess,filament_bridge_err,snr,n_pairs
8 arcmin,5.0,0.0005377536181916568,0.0009081051434189592,0.5921710961431712,217702
6 arcmin,5.0,0.0015654660202108373,0.0013048164576216024,1.1997595608690763,217702
4 arcmin,5.0,0.013280712836630078,0.005959894783518084,2.22834686165224,217702
8 arcmin,10.0,0.0011907693414125338,0.0005101483201479403,2.334163015703388,459051
6 arcmin,10.0,0.0015429514696383097,0.0006307413046977907,2.446250876779965,459051
4 arcmin,10.0,0.0031826965585872616,0.0028556880959930172,1.114511267197944,459051
8 arcmin,20.0,0.000123583259627086,0.00022214693075644026,0.556313153669368,1282969
6 arcmin,20.0,0.000130206869005118,0.0002795551060075725,0.4657645888306222,1282969
